Date,Weekly U.S. Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day),Weekly East Coast (PADD 1) Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day),Weekly Midwest (PADD 2) Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day),Weekly Gulf Coast (PADD 3) Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day),Weekly Rocky Mountain (PADD 4) Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day),Weekly West Coast (PADD 5) Oxygenate Plant Production of Fuel Ethanol  (Thousand Barrels per Day)
"Jun 02, 2017",999,,912,,,
"Jun 09, 2017",1002,,914,,,
"Jun 16, 2017",990,,901,,,
"Jun 23, 2017",1015,,928,,,
"Jun 30, 2017",1014,,925,,,
"Jul 07, 2017",1007,,913,,,
"Jul 14, 2017",1026,,932,,,
"Jul 21, 2017",1012,,923,,,
"Jul 28, 2017",1002,,911,,,
"Aug 04, 2017",1012,,932,,,
"Aug 11, 2017",1059,27,968,30,14,20
"Aug 18, 2017",1052,31,958,29,14,20
"Aug 25, 2017",1042,30,960,21,11,20
"Sep 01, 2017",1060,31,974,25,12,18
"Sep 08, 2017",1047,30,952,29,14,21
"Sep 15, 2017",1033,26,942,32,13,21
"Sep 22, 2017",996,31,904,29,13,20
"Sep 29, 2017",1010,20,928,25,15,22
"Oct 06, 2017",967,18,888,29,13,19
"Oct 13, 2017",1019,22,938,24,14,20
"Oct 20, 2017",1039,27,948,30,14,19
"Oct 27, 2017",1056,28,963,31,14,20
"Nov 03, 2017",1057,28,966,28,15,21
"Nov 10, 2017",1054,28,967,24,14,21
"Nov 17, 2017",1074,28,987,27,14,18
"Nov 24, 2017",1066,28,976,27,15,20
"Dec 01, 2017",1108,29,1016,29,14,21
"Dec 08, 2017",1089,28,998,28,15,20
"Dec 15, 2017",1077,27,986,29,14,20
"Dec 22, 2017",1090,28,998,32,12,21
"Dec 29, 2017",1032,27,945,25,14,21
"Jan 05, 2018",996,29,905,27,14,21
"Jan 12, 2018",1061,29,972,26,14,20
"Jan 19, 2018",1062,31,969,30,14,19
"Jan 26, 2018",1040,30,950,28,13,19
"Feb 02, 2018",1057,31,964,29,14,20
"Feb 09, 2018",1016,29,932,22,15,19
"Feb 16, 2018",1068,29,982,23,14,20
"Feb 23, 2018",1044,21,959,30,14,19
"Mar 02, 2018",1057,23,973,26,15,20
"Mar 09, 2018",1025,27,943,22,14,20
"Mar 16, 2018",1049,24,965,27,14,19
"Mar 23, 2018",1039,27,947,29,14,22
"Mar 30, 2018",1038,30,946,26,15,21
"Apr 06, 2018",1034,26,947,26,15,20
"Apr 13, 2018",1009,26,925,23,14,21
"Apr 20, 2018",985,26,893,31,14,21
"Apr 27, 2018",1032,18,951,28,13,21
"May 04, 2018",1040,22,952,32,14,20
"May 11, 2018",1058,22,978,23,14,21
"May 18, 2018",1028,21,942,31,13,21
"May 25, 2018",1041,24,957,26,14,21
"Jun 01, 2018",1041,25,952,29,14,21
"Jun 08, 2018",1053,26,967,25,14,21
"Jun 15, 2018",1064,26,974,28,15,21
"Jun 22, 2018",1072,28,977,31,14,21
"Jun 29, 2018",1067,26,980,25,14,21
"Jul 06, 2018",1033,26,942,30,15,20
"Jul 13, 2018",1064,23,978,29,14,20
"Jul 20, 2018",1074,25,985,28,14,21
"Jul 27, 2018",1064,25,979,26,14,20
"Aug 03, 2018",1100,25,1009,30,14,20
"Aug 10, 2018",1072,27,981,28,15,21
"Aug 17, 2018",1073,25,985,29,14,19
"Aug 24, 2018",1070,25,991,23,11,21
"Aug 31, 2018",1087,26,1003,27,13,19
"Sep 07, 2018",1020,24,938,25,14,18
"Sep 14, 2018",1051,30,958,30,12,20
"Sep 21, 2018",1036,28,949,27,11,20
"Sep 28, 2018",1015,22,930,30,14,20
"Oct 05, 2018",1040,29,948,30,14,19
"Oct 12, 2018",1011,25,927,26,14,19
"Oct 19, 2018",1024,19,954,18,13,19
"Oct 26, 2018",1059,26,975,24,14,19
"Nov 02, 2018",1068,24,986,25,14,20
"Nov 09, 2018",1067,24,988,20,14,21
"Nov 16, 2018",1042,23,962,22,14,20
"Nov 23, 2018",1048,24,964,26,14,20
"Nov 30, 2018",1069,22,989,22,14,21
"Dec 07, 2018",1046,25,963,24,14,20
"Dec 14, 2018",1046,26,963,23,14,20
"Dec 21, 2018",1042,26,960,22,14,20
"Dec 28, 2018",1011,26,932,20,14,19
"Jan 04, 2019",1000,25,929,13,13,20
"Jan 11, 2019",1051,25,977,15,13,20
"Jan 18, 2019",1031,24,957,16,14,20
"Jan 25, 2019",1012,25,942,12,13,20
"Feb 01, 2019",967,26,893,14,14,20
"Feb 08, 2019",1029,24,959,14,13,19
"Feb 15, 2019",996,18,936,13,12,17
"Feb 22, 2019",1028,20,964,12,13,19
"Mar 01, 2019",1024,25,952,17,13,17
"Mar 08, 2019",1005,26,936,14,14,15
"Mar 15, 2019",1004,25,935,13,12,19
"Mar 22, 2019",975,25,904,14,12,19
"Mar 29, 2019",999,26,925,14,14,20
"Apr 05, 2019",1002,24,931,13,14,19
"Apr 12, 2019",1016,23,945,15,14,20
"Apr 19, 2019",1048,26,968,21,14,19
"Apr 26, 2019",1024,22,947,24,13,17
"May 03, 2019",1036,19,959,25,14,20
"May 10, 2019",1051,21,978,19,13,20
"May 17, 2019",1071,21,993,24,13,19
"May 24, 2019",1057,26,976,24,12,19
"May 31, 2019",1044,26,965,19,14,20
"Jun 07, 2019",1096,28,1014,26,13,16
"Jun 14, 2019",1081,27,1003,22,13,16
"Jun 21, 2019",1072,27,994,24,11,17
"Jun 28, 2019",1081,27,1003,20,13,18
"Jul 05, 2019",1047,25,967,24,14,17
"Jul 12, 2019",1066,23,991,22,13,16
"Jul 19, 2019",1039,25,961,23,13,16
"Jul 26, 2019",1031,25,952,24,13,16
"Aug 02, 2019",1040,25,961,24,14,16
"Aug 09, 2019",1045,22,969,24,13,17
"Aug 16, 2019",1023,26,945,24,13,15
"Aug 23, 2019",1038,26,963,23,11,16
"Aug 30, 2019",1013,26,934,24,14,16
"Sep 06, 2019",1023,25,949,20,13,16
"Sep 13, 2019",1003,27,928,23,11,14
"Sep 20, 2019",943,24,877,16,10,15
"Sep 27, 2019",958,20,887,22,14,15
"Oct 04, 2019",963,23,890,20,14,16
"Oct 11, 2019",971,19,905,17,14,16
"Oct 18, 2019",996,23,925,19,14,15
"Oct 25, 2019",1004,26,924,22,14,18
"Nov 01, 2019",1014,27,936,21,14,16
"Nov 08, 2019",1030,26,957,15,15,17
"Nov 15, 2019",1033,27,957,20,14,16
"Nov 22, 2019",1059,26,980,22,14,17
"Nov 29, 2019",1060,27,983,20,14,17
"Dec 06, 2019",1072,27,993,23,15,15
"Dec 13, 2019",1064,26,984,23,14,17
"Dec 20, 2019",1083,27,1006,21,15,15
"Dec 27, 2019",1066,25,989,21,14,16
"Jan 03, 2020",1062,25,984,22,14,17
"Jan 10, 2020",1095,28,1012,25,14,16
"Jan 17, 2020",1049,24,974,21,14,15
"Jan 24, 2020",1029,26,955,18,14,16
"Jan 31, 2020",1081,26,1001,23,14,17
"Feb 07, 2020",1033,24,955,24,14,17
"Feb 14, 2020",1040,24,961,25,13,16
"Feb 21, 2020",1054,26,977,22,14,15
"Feb 28, 2020",1079,19,1007,24,14,14
"Mar 06, 2020",1044,16,978,21,14,14
"Mar 13, 2020",1035,24,968,17,13,13
"Mar 20, 2020",1005,25,934,19,14,13
"Mar 27, 2020",840,20,778,21,11,10
"Apr 03, 2020",672,16,629,14,6,7
"Apr 10, 2020",570,9,540,13,5,4
"Apr 17, 2020",563,10,530,13,5,5
"Apr 24, 2020",537,11,512,6,5,3
"May 01, 2020",598,8,571,6,6,6
"May 08, 2020",617,8,588,6,7,7
"May 15, 2020",663,10,630,6,7,10
"May 22, 2020",724,7,695,7,7,7
"May 29, 2020",765,10,733,7,7,7
"Jun 05, 2020",837,10,802,9,8,8
"Jun 12, 2020",841,10,803,10,10,7
"Jun 19, 2020",893,11,857,8,10,8
"Jun 26, 2020",900,12,862,9,9,9
"Jul 03, 2020",914,12,876,9,9,8
"Jul 10, 2020",931,13,883,17,10,9
"Jul 17, 2020",908,13,860,16,10,9
"Jul 24, 2020",958,14,909,17,9,8
"Jul 31, 2020",931,12,886,15,10,9
"Aug 07, 2020",918,12,872,17,9,8
"Aug 14, 2020",926,12,883,16,8,8
"Aug 21, 2020",931,12,884,19,7,9
"Aug 28, 2020",922,12,877,14,9,9
"Sep 04, 2020",941,12,892,16,10,10
"Sep 11, 2020",926,13,879,17,10,8
"Sep 18, 2020",906,12,865,11,8,9
"Sep 25, 2020",881,13,835,14,10,9
"Oct 02, 2020",923,6,881,17,10,9
"Oct 09, 2020",937,10,900,9,10,8
"Oct 16, 2020",913,13,871,9,10,10
"Oct 23, 2020",941,10,896,16,10,9
"Oct 30, 2020",961,13,913,16,10,9
"Nov 06, 2020",977,13,927,17,10,10
"Nov 13, 2020",962,13,916,15,10,9
"Nov 20, 2020",990,13,940,17,10,10
"Nov 27, 2020",974,13,926,16,10,9
"Dec 04, 2020",991,12,941,18,10,9
"Dec 11, 2020",957,12,911,13,10,10
"Dec 18, 2020",976,12,929,17,9,9
"Dec 25, 2020",934,12,891,13,9,9
"Jan 01, 2021",935,12,889,16,9,9
"Jan 08, 2021",941,12,895,15,9,10
"Jan 15, 2021",945,12,902,12,9,9
"Jan 22, 2021",933,11,889,15,9,9
"Jan 29, 2021",936,12,894,12,10,9
"Feb 05, 2021",937,12,895,12,9,9
"Feb 12, 2021",911,12,868,12,9,9
"Feb 19, 2021",658,11,631,2,5,8
"Feb 26, 2021",849,11,811,10,9,9
"Mar 05, 2021",938,12,894,14,10,9
"Mar 12, 2021",971,12,928,11,10,9
"Mar 19, 2021",922,12,876,14,10,9
"Mar 26, 2021",965,12,917,18,9,9
"Apr 02, 2021",975,12,929,16,9,9
"Apr 09, 2021",941,12,895,15,10,9
"Apr 16, 2021",941,12,892,18,10,9
"Apr 23, 2021",945,12,897,17,10,10
"Apr 30, 2021",952,13,904,16,10,10
"May 07, 2021",979,6,940,16,8,9
"May 14, 2021",1032,7,985,20,10,9
"May 21, 2021",1011,10,966,16,10,10
"May 28, 2021",1034,11,985,18,10,10
"Jun 04, 2021",1067,11,1021,17,8,9
"Jun 11, 2021",1025,11,979,17,10,8
"Jun 18, 2021",1048,10,1002,16,10,9
"Jun 25, 2021",1058,11,1013,16,9,8
"Jul 02, 2021",1067,12,1018,18,10,9
"Jul 09, 2021",1041,12,993,17,10,9
"Jul 16, 2021",1028,12,980,18,10,9
"Jul 23, 2021",1014,13,960,23,10,9
"Jul 30, 2021",1013,13,959,23,9,9
"Aug 06, 2021",986,13,932,23,10,9
"Aug 13, 2021",973,13,921,21,10,9
"Aug 20, 2021",933,12,881,23,8,8
"Aug 27, 2021",905,12,851,25,9,7
"Sep 03, 2021",923,12,870,22,10,9
"Sep 10, 2021",937,12,881,23,11,9
"Sep 17, 2021",926,9,885,16,8,8
"Sep 24, 2021",914,13,866,17,9,9
"Oct 01, 2021",978,6,937,16,11,9
"Oct 08, 2021",1032,12,977,25,11,8
"Oct 15, 2021",1096,11,1041,24,10,9
"Oct 22, 2021",1106,12,1051,23,10,9
"Oct 29, 2021",1107,13,1051,24,10,9
"Nov 05, 2021",1039,12,982,25,11,9
"Nov 12, 2021",1060,12,1008,21,11,9
"Nov 19, 2021",1079,12,1024,22,11,10
"Nov 26, 2021",1035,12,978,27,11,7
"Dec 03, 2021",1090,12,1030,25,14,9
"Dec 10, 2021",1087,12,1025,26,15,9
"Dec 17, 2021",1051,12,991,24,14,10
"Dec 24, 2021",1059,12,1001,23,13,10
"Dec 31, 2021",1048,14,989,26,11,9
"Jan 07, 2022",1006,11,947,25,15,8
"Jan 14, 2022",1053,11,994,25,14,9
"Jan 21, 2022",1035,10,979,21,15,9
"Jan 28, 2022",1041,11,981,25,15,9
"Feb 04, 2022",994,12,939,20,15,9
"Feb 11, 2022",1009,12,949,25,14,8
"Feb 18, 2022",1024,12,966,22,14,9
"Feb 25, 2022",997,12,941,22,13,10
"Mar 04, 2022",1028,12,977,17,14,8
"Mar 11, 2022",1026,11,971,23,13,9
"Mar 18, 2022",1042,11,988,21,13,9
"Mar 25, 2022",1036,12,982,19,15,8
"Apr 01, 2022",1003,12,946,23,15,7
"Apr 08, 2022",995,12,935,24,15,9
"Apr 15, 2022",947,12,889,23,15,8
"Apr 22, 2022",963,12,902,25,15,9
"Apr 29, 2022",969,10,915,24,13,9
"May 06, 2022",991,5,941,24,12,9
"May 13, 2022",991,12,931,25,14,9
"May 20, 2022",1014,12,960,20,15,7
"May 27, 2022",1071,12,1011,23,15,9
"Jun 03, 2022",1039,12,985,19,15,9
"Jun 10, 2022",1060,12,999,26,14,9
"Jun 17, 2022",1055,12,996,23,16,9
"Jun 24, 2022",1051,13,990,24,15,9
"Jul 01, 2022",1044,12,986,24,14,9
"Jul 08, 2022",1005,13,944,23,15,9
"Jul 15, 2022",1034,12,973,26,15,9
"Jul 22, 2022",1021,12,962,23,15,9
"Jul 29, 2022",1043,12,984,25,15,7
"Aug 05, 2022",1022,12,965,22,14,8
"Aug 12, 2022",983,12,926,23,13,9
"Aug 19, 2022",987,12,928,24,14,9
"Aug 26, 2022",970,13,911,25,13,9
"Sep 02, 2022",989,12,931,23,14,9
"Sep 09, 2022",963,12,902,25,15,9
"Sep 16, 2022",901,12,850,19,12,8
"Sep 23, 2022",855,12,799,23,12,8
"Sep 30, 2022",889,3,840,24,14,9
"Oct 07, 2022",932,10,881,17,14,8
"Oct 14, 2022",1016,13,961,19,15,9
"Oct 21, 2022",1033,12,974,23,15,8
"Oct 28, 2022",1040,12,981,25,15,8
"Nov 04, 2022",1051,12,992,24,15,8
"Nov 11, 2022",1011,13,954,23,13,8
"Nov 18, 2022",1041,12,981,24,15,9
"Nov 25, 2022",1018,12,962,20,14,9
"Dec 02, 2022",1077,12,1014,26,15,9
"Dec 09, 2022",1061,12,1001,25,15,8
"Dec 16, 2022",1029,12,975,20,14,8
"Dec 23, 2022",963,12,906,22,14,9
"Dec 30, 2022",844,9,794,24,11,6
"Jan 06, 2023",943,10,895,22,12,4
"Jan 13, 2023",1008,11,958,24,12,4
"Jan 20, 2023",1012,11,963,24,10,4
"Jan 27, 2023",1028,10,982,22,9,4
"Feb 03, 2023",1000,12,952,22,10,4
"Feb 10, 2023",1014,11,965,24,10,4
"Feb 17, 2023",1029,11,984,21,9,4
"Feb 24, 2023",1003,11,958,19,10,4
"Mar 03, 2023",1010,10,964,21,10,4
"Mar 10, 2023",1014,10,966,24,10,4
